Industry,Ticker,Exchange,Stock Name,Punto,Name,ExOr,ExAdj,Multiplica,Numero,TickerAdj
basicmaterials,AKZA.NV,amsterdam,Akzo Nobel NV,5,AKZA,.NV,.AS,#¡VALOR!,#¡VALOR!,AKZA.AS
basicmaterials,AMG.NV,amsterdam,AMG Advanced Metallurgical Group NV,4,AMG,.NV,.AS,#¡VALOR!,#¡VALOR!,AMG.AS
basicmaterials,DSM.NV,amsterdam,Koninklijke DSM NV,4,DSM,.NV,.AS,#¡VALOR!,#¡VALOR!,DSM.AS
basicmaterials,IMCD.NV,amsterdam,IMCD NV,5,IMCD,.NV,.AS,#¡VALOR!,#¡VALOR!,IMCD.AS
basicmaterials,OCI.NV,amsterdam,OCI NV,4,OCI,.NV,.AS,#¡VALOR!,#¡VALOR!,OCI.AS
consumergoods,AD.NV,amsterdam,Koninklijke Ahold NV,3,AD,.NV,.AS,#¡VALOR!,#¡VALOR!,AD.AS
consumergoods,ADYEN.NV,amsterdam,Adyen NV,6,ADYEN,.NV,.AS,#¡VALOR!,#¡VALOR!,ADYEN.AS
consumergoods,GLPG.NV,amsterdam,Galapagos,5,GLPG,.NV,.AS,#¡VALOR!,#¡VALOR!,GLPG.AS
consumergoods,GVNV.NV,amsterdam,GrandVision NV,5,GVNV,.NV,.AS,#¡VALOR!,#¡VALOR!,GVNV.AS
consumergoods,HEIA.NV,amsterdam,Heineken,5,HEIA,.NV,.AS,#¡VALOR!,#¡VALOR!,HEIA.AS
consumergoods,HEIO.NV,amsterdam,Heineken Holding NV,5,HEIO,.NV,.AS,#¡VALOR!,#¡VALOR!,HEIO.AS
consumergoods,PHIA.NV,amsterdam,Koninklijke Philips N.V.,5,PHIA,.NV,.AS,#¡VALOR!,#¡VALOR!,PHIA.AS
consumergoods,RAND.NV,amsterdam,Randstad Holding NV,5,RAND,.NV,.AS,#¡VALOR!,#¡VALOR!,RAND.AS
consumergoods,TKWY.NV,amsterdam,Just Eat Takeaway.com NV,5,TKWY,.NV,.AS,#¡VALOR!,#¡VALOR!,TKWY.AS
financial,ABN.NV,amsterdam,ABN AMRO Group NV,4,ABN,.NV,.AS,#¡VALOR!,#¡VALOR!,ABN.AS
financial,AGN.NV,amsterdam,Aegon NV,4,AGN,.NV,.AS,#¡VALOR!,#¡VALOR!,AGN.AS
financial,ASRNL.NV,amsterdam,ASR Nederland NV,6,ASRNL,.NV,.AS,#¡VALOR!,#¡VALOR!,ASRNL.AS
financial,FLOW.NV,amsterdam,Flow Traders Cooperatief UA,5,FLOW,.NV,.AS,#¡VALOR!,#¡VALOR!,FLOW.AS
financial,INGA.NV,amsterdam,ING Groep NV,5,INGA,.NV,.AS,#¡VALOR!,#¡VALOR!,INGA.AS
financial,INTER.NV,amsterdam,Intertrust NV,6,INTER,.NV,.AS,#¡VALOR!,#¡VALOR!,INTER.AS
financial,NN.NV,amsterdam,NN Group NV,3,NN,.NV,.AS,#¡VALOR!,#¡VALOR!,NN.AS
financial,WHA.NV,amsterdam,Wereldhave NV,4,WHA,.NV,.AS,#¡VALOR!,#¡VALOR!,WHA.AS
industrialgoods,AALB.NV,amsterdam,Aalberts NV,5,AALB,.NV,.AS,#¡VALOR!,#¡VALOR!,AALB.AS
industrialgoods,ARCAD.NV,amsterdam,Arcadis NV,6,ARCAD,.NV,.AS,#¡VALOR!,#¡VALOR!,ARCAD.AS
